Timestamp,Electric Demand (Student 032 > Electric Meter) [(kWh)],Outdoor Dew Point (Student 032 > Weather Station) [(deg. F)],Outdoor Temperature (Student 032 > Weather Station) [(deg. F)],Optimal Electric Demand kWh (Student 032 > Electric Meter) [(kWh)],Predicted Electric Demand kWh (Student 032 > Electric Meter) [(kWh)]
02/23/2016 08:00:00,133.7475,5.135,21.74,113.435,118.4474
02/23/2016 16:00:00,148.963,8.285,28.085,126.71625,137.86105
02/24/2016 00:00:00,87.4045,6.5975,20.48,80.14125,80.05925
02/24/2016 08:00:00,133.74,7.25,20.03,113.505,119.3687125
02/24/2016 16:00:00,148.0475,6.1475,28.22,126.5825,137.246375
02/25/2016 00:00:00,87.5835,-8.2525,16.2275,82.7375,81.0031875
02/25/2016 08:00:00,133.669,-0.625,15.5975,113.24625,118.1225
02/25/2016 16:00:00,147.946,17.78,27.14,126.33,138.8282875
02/26/2016 00:00:00,87.2455,0.3425,16.745,80.81625,81.1797625
02/26/2016 08:00:00,130.092,-7.375,12.5825,113.52125,117.0179625
02/26/2016 16:00:00,145.9415,-10.615,23.3825,126.1525,133.499525
02/27/2016 00:00:00,89.10095387,-4.8325,14.135,79.335,77.65065
02/27/2016 08:00:00,82.652612,0.7475,15.3725,75.92625,71.76455
02/27/2016 16:00:00,81.91612713,19.5125,33.89,74.60125,72.444375
02/28/2016 00:00:00,82.45721941,22.01,32.135,71.16875,74.45455
02/28/2016 08:00:00,76.0495,21.245,33.665,71.5725,72.7152
02/28/2016 16:00:00,74.1335,21.47,35.3975,71.87875,79.08365
02/29/2016 00:00:00,79.165,13.28,32.5175,76.17875,77.9413
02/29/2016 08:00:00,131.974,9.005,22.1,113.90125,119.0183875
02/29/2016 16:00:00,147.085,-0.6025,22.865,127.54375,134.4449625
03/01/2016 00:00:00,90.431,-3.9325,15.7325,82.39625,79.5055625
03/01/2016 08:00:00,130.334,-4.36,15.26,113.4225,117.6405125
03/01/2016 16:00:00,141.617,2.885,26.87,127.17875,137.3390875
03/02/2016 00:00:00,84.5485,6.26,25.6325,81.81,79.524925
03/02/2016 08:00:00,131.6985,9.5225,27.005,114.11,118.4754125
03/02/2016 16:00:00,147.392,15.7775,29.5025,129.05625,140.5978375
03/03/2016 00:00:00,87.7345,9.635,20.525,80.06,81.513625
03/03/2016 08:00:00,131.236,-3.28,16.88,113.75625,117.8029125
03/03/2016 16:00:00,148.588,2.03,27.995,126.35875,136.93085
03/04/2016 00:00:00,87.2375,10.085,19.0175,77.61,78.9245375
03/04/2016 08:00:00,129.869,10.6475,19.22,114.90125,120.9332625
03/04/2016 16:00:00,144.307,20.705,36.8825,125.37875,137.6759375
03/05/2016 00:00:00,86.797,24.17,32.3825,75.1775,79.0123625
03/05/2016 08:00:00,75.6265,23,36.1175,76.81375,71.8336
03/05/2016 16:00:00,75.8985,22.1,53.2175,74.86375,80.1956125
03/06/2016 00:00:00,69.9825,23.675,40.3475,73.96875,78.9865125
03/06/2016 08:00:00,73.994,12.4925,34.25,74.015,78.29905
03/06/2016 16:00:00,74.295,10.49,40.1225,75.0775,77.2944875
03/07/2016 00:00:00,79.378,7.4975,32.8775,77.35,73.416625
03/07/2016 08:00:00,135.9785,21.605,32.6525,114.56875,122.8218875
03/07/2016 16:00:00,152.4475,26.24,41.8775,127.33875,138.7837375
03/08/2016 00:00:00,89.6365,30.605,36.995,75.85625,80.047575
03/08/2016 08:00:00,134.0975,33.0575,39.605,119.12375,122.3698625
03/08/2016 16:00:00,152.433,25.0475,57.38,146.415,155.096725
03/09/2016 00:00:00,93.52,26.375,44.015,84.0775,83.0452
03/09/2016 08:00:00,142.699,32.4725,43.115,120.725,120.47305
03/09/2016 16:00:00,151.006,45.4775,50.7425,135.1075,141.4195625
03/10/2016 00:00:00,75.674,41.8775,46.76,75.5375,78.6252375
03/10/2016 08:00:00,128.4075,14.9225,22.235,112.65375,118.377875
03/10/2016 16:00:00,147.5665,5.405,21.2225,128.74625,136.101875
03/11/2016 00:00:00,96.7945,0.995,17.2625,81.7425,79.6873625
03/11/2016 08:00:00,132.273,5.9,18.2525,114.485,119.9859
03/11/2016 16:00:00,141.6665,13.3925,35.645,127.12625,138.4479625
03/12/2016 00:00:00,84.345,29.2325,37.265,76.1575,78.9478125
